,strain,design target,B:time,B:mean time,A:time,A:mean time,B:off target numbers,B mean:off target numbers,A:time - B:time
151,Pseudomonas_aeruginosa,50-5,239.815171957016,241.6727891921997,348.0622313022613,346.52072563171384,17.0,16.2,108.2470593452453
152,Pseudomonas_aeruginosa,50-3,240.07841444015503,241.6727891921997,338.9548604488373,346.52072563171384,17.0,16.2,98.87644600868225
153,Pseudomonas_aeruginosa,50-1,248.69891619682312,241.6727891921997,356.1538753509521,346.52072563171384,13.0,16.2,107.45495915412897
154,Pseudomonas_aeruginosa,50-2,249.08602833747864,241.6727891921997,348.0947353839874,346.52072563171384,17.0,16.2,99.00870704650879
155,Pseudomonas_aeruginosa,100-1,469.4598662853241,493.00763792991637,710.9949231147766,883.3877643108368,36.0,29.8,241.53505682945251
156,Pseudomonas_aeruginosa,100-3,479.2418684959412,493.00763792991637,749.6427912712097,883.3877643108368,34.0,29.8,270.4009227752685
157,Pseudomonas_aeruginosa,100-5,494.0606060028076,493.00763792991637,1212.5447790622711,883.3877643108368,27.0,29.8,718.4841730594635
158,Pseudomonas_aeruginosa,100-2,509.3433861732483,493.00763792991637,678.8206737041473,883.3877643108368,23.0,29.8,169.47728753089905
159,Pseudomonas_aeruginosa,100-4,512.9324626922607,493.00763792991637,1064.9356544017792,883.3877643108368,29.0,29.8,552.0031917095184
160,Pseudomonas_aeruginosa,150-5,751.1475691795349,735.4016075611114,2105.7803547382355,1659.780945777893,53.0,48.6,1354.6327855587006
161,Pseudomonas_aeruginosa,150-1,746.536388874054,735.4016075611114,1450.9530568122864,1659.780945777893,41.0,48.6,704.4166679382324
162,Pseudomonas_aeruginosa,150-2,717.5602777004242,735.4016075611114,1532.5335609912872,1659.780945777893,52.0,48.6,814.973283290863
163,Pseudomonas_aeruginosa,150-4,719.7679159641266,735.4016075611114,1751.5053629875183,1659.780945777893,51.0,48.6,1031.7374470233917
164,Pseudomonas_aeruginosa,150-3,741.9958860874176,735.4016075611114,1458.132393360138,1659.780945777893,46.0,48.6,716.1365072727203
165,Pseudomonas_aeruginosa,200-3,1095.0214557647705,1110.0118097782135,1848.740124464035,1960.8882858753204,57.0,55.8,753.7186686992645
166,Pseudomonas_aeruginosa,200-4,1107.146766424179,1110.0118097782135,1951.4603142738345,1960.8882858753204,64.0,55.8,844.3135478496554
167,Pseudomonas_aeruginosa,200-5,1107.146956205368,1110.0118097782135,2007.1681339740755,1960.8882858753204,56.0,55.8,900.0211777687075
168,Pseudomonas_aeruginosa,200-1,1118.0593435764313,1110.0118097782135,2036.6608264446256,1960.8882858753204,58.0,55.8,918.6014828681944
169,Pseudomonas_aeruginosa,200-2,1122.6845269203186,1110.0118097782135,1960.412030220032,1960.8882858753204,44.0,55.8,837.7275032997134
170,Pseudomonas_aeruginosa,250-3,1530.194833278656,1523.0163537979126,2724.79102230072,2817.43967795372,66.0,68.2,1194.5961890220642
171,Pseudomonas_aeruginosa,250-5,1526.5169961452484,1523.0163537979126,2810.972167491913,2817.43967795372,69.0,68.2,1284.4551713466644
172,Pseudomonas_aeruginosa,250-1,1549.8882982730863,1523.0163537979126,2762.121834754944,2817.43967795372,74.0,68.2,1212.2335364818575
173,Pseudomonas_aeruginosa,250-2,1500.001546382904,1523.0163537979126,2459.3392124176025,2817.43967795372,70.0,68.2,959.3376660346985
174,Pseudomonas_aeruginosa,250-4,1508.480094909668,1523.0163537979126,3329.974152803421,2817.43967795372,62.0,68.2,1821.494057893753
175,Pseudomonas_aeruginosa,300-3,1845.5621592998505,1889.805179309845,2629.5963537693024,2722.568670272827,89.0,85.0,784.0341944694519
176,Pseudomonas_aeruginosa,300-5,1868.2555236816409,1889.805179309845,2923.907060623169,2722.568670272827,84.0,85.0,1055.651536941528
177,Pseudomonas_aeruginosa,300-2,1877.4166386127472,1889.805179309845,2690.9032728672028,2722.568670272827,89.0,85.0,813.4866342544556
178,Pseudomonas_aeruginosa,300-4,1891.5858492851255,1889.805179309845,2678.200956106186,2722.568670272827,87.0,85.0,786.6151068210604
179,Pseudomonas_aeruginosa,300-1,1966.2057256698608,1889.805179309845,2690.235707998276,2722.568670272827,76.0,85.0,724.0299823284154
180,Pseudomonas_aeruginosa,350-3,2182.710865497589,2225.143527984619,3326.2870151996613,3029.4830165863036,102.0,96.4,1143.5761497020721
181,Pseudomonas_aeruginosa,350-4,2191.6505761146545,2225.143527984619,2874.1340339183807,3029.4830165863036,99.0,96.4,682.4834578037262
182,Pseudomonas_aeruginosa,350-5,2229.599375486374,2225.143527984619,2845.146453142166,3029.4830165863036,92.0,96.4,615.5470776557922
183,Pseudomonas_aeruginosa,350-2,2251.0516815185547,2225.143527984619,2970.011631011963,3029.4830165863036,100.0,96.4,718.9599494934082
184,Pseudomonas_aeruginosa,350-1,2270.7051413059235,2225.143527984619,3131.8359496593475,3029.4830165863036,89.0,96.4,861.1308083534241
185,Pseudomonas_aeruginosa,400-1,2557.426149129868,2547.464893245697,3587.0790495872498,3462.743999671936,109.0,112.4,1029.6529004573817
186,Pseudomonas_aeruginosa,400-3,2552.774682998657,2547.464893245697,3447.105729818344,3462.743999671936,117.0,112.4,894.3310468196869
187,Pseudomonas_aeruginosa,400-4,2542.9075717926025,2547.464893245697,3505.3080286979675,3462.743999671936,120.0,112.4,962.400456905365
188,Pseudomonas_aeruginosa,400-5,2540.733525037765,2547.464893245697,3113.7400467395782,3462.743999671936,114.0,112.4,573.0065217018132
189,Pseudomonas_aeruginosa,400-2,2543.4825372695923,2547.464893245697,3660.487143516541,3462.743999671936,102.0,112.4,1117.0046062469487
190,Pseudomonas_aeruginosa,450-4,2664.5078949928284,2685.637950849533,3333.3663227558136,3396.8213822841644,138.0,135.4,668.8584277629852
191,Pseudomonas_aeruginosa,450-1,2670.311294794082,2685.637950849533,3420.6450684070587,3396.8213822841644,140.0,135.4,750.3337736129765
192,Pseudomonas_aeruginosa,450-3,2687.04110622406,2685.637950849533,3303.149671792984,3396.8213822841644,125.0,135.4,616.108565568924
193,Pseudomonas_aeruginosa,450-5,2690.8149547576904,2685.637950849533,3555.853660583496,3396.8213822841644,142.0,135.4,865.0387058258057
194,Pseudomonas_aeruginosa,450-2,2715.514503479004,2685.637950849533,3371.0921878814697,3396.8213822841644,132.0,135.4,655.5776844024658
195,Pseudomonas_aeruginosa,500-3,2922.2085168361664,2916.9211514949798,3800.767826318741,3742.9066553592684,140.0,140.0,878.5593094825745
196,Pseudomonas_aeruginosa,500-2,2901.6397964954376,2916.9211514949798,3603.008694648743,3742.9066553592684,147.0,140.0,701.3688981533055
197,Pseudomonas_aeruginosa,500-4,2916.259283065796,2916.9211514949798,3933.3459565639496,3742.9066553592684,136.0,140.0,1017.0866734981537
198,Pseudomonas_aeruginosa,500-1,2917.9875857830048,2916.9211514949798,3570.204927444458,3742.9066553592684,138.0,140.0,652.2173416614532
199,Pseudomonas_aeruginosa,500-5,2926.510575294494,2916.9211514949798,3807.20587182045,3742.9066553592684,139.0,140.0,880.6952965259557
200,Salmonella_typhimurium,50-1,262.0386316776276,267.76114349365236,765.8454704284668,528.9213690757751,5.0,3.6,503.8068387508392
